MRGID,GEONAME,TERRITORY1,ISO_TER1,SOVEREIGN1,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,SIS_name0,SIS_name1,To_split
21797,Joint regime area Nigeria / Sao Tome and Principe,Sao Tome and Principe,STP,Sao Tome and Principe,Nigeria,NGA,Nigeria,0,0,NA,NA,NA,Sao Tome and Principe,,
8397,Sao Tome and Principe Exclusive Economic Zone,Sao Tome and Principe,STP,Sao Tome and Principe,NA,NA,NA,0,0,NA,NA,NA,Sao Tome and Principe,,
8356,Saudi Arabian Exclusive Economic Zone,Saudi Arabia,SAU,Saudi Arabia,NA,NA,NA,0,0,NA,NA,NA,Saudi Arabia,,
48964,Joint regime area Senegal / Guinea Bissau,Senegal,SEN,Senegal,Guinea-Bissau,GNB,Guinea-Bissau,0,0,NA,NA,NA,Senegal,,
8371,Senegalese Exclusive Economic Zone,Senegal,SEN,Senegal,NA,NA,NA,0,0,NA,NA,NA,Senegal,,
8337,Seychellois Exclusive Economic Zone,Seychelles,SYC,Seychelles,NA,NA,NA,0,0,NA,NA,NA,Seychelles,,
8390,Sierra Leonian Exclusive Economic Zone,Sierra Leone,SLE,Sierra Leone,NA,NA,NA,0,0,NA,NA,NA,Sierra Leone,,
8485,Singaporean Exclusive Economic Zone,Singapore,SGP,Singapore,NA,NA,NA,0,0,NA,NA,NA,Singapore,,
21803,Sint-Maarten Exclusive Economic Zone,Sint-Maarten,SXM,Netherlands,NA,NA,NA,0,0,NA,NA,NA,Sint Maarten (Dutch part),,
5692,Slovenian Exclusive Economic Zone,Slovenia,SVN,Slovenia,NA,NA,NA,0,0,NA,NA,NA,Slovenia,,
8314,Solomon Islands Exclusive Economic Zone,Solomon Islands,SLB,Solomon Islands,NA,NA,NA,0,0,NA,NA,NA,Solomon Islands,,
8350,Somali Exclusive Economic Zone,Federal Republic of Somalia,SOM,Federal Republic of Somalia,NA,NA,NA,0,0,NA,NA,NA,Somalia,,
8384,South African Exclusive Economic Zone (Prince Edward Islands),Prince Edward Islands,NA,South Africa,NA,NA,NA,0,0,NA,NA,NA,South Africa,Marion-Prince Edward Is.,
8396,South African Exclusive Economic Zone,South Africa,ZAF,South Africa,NA,NA,NA,0,0,NA,NA,NA,South Africa,,
8383,Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina,South Georgia and the South Sandwich Islands,SGS,United Kingdom,South Georgia and the South Sandwich Islands,SGS,Argentina,0,0,NA,NA,NA,South Georgia and the South Sandwich Islands,,
8364,Spanish Exclusive Economic Zone (Canary Islands),Canary Islands,NA,Spain,NA,NA,NA,0,0,NA,NA,NA,Spain,Canary Is.,
49002,Overlapping claim Ceuta: Spain / Morocco,Ceuta,NA,Spain,Ceuta,NA,Morocco,0,0,NA,NA,NA,Spain,Spanish North African Territories,
5693,Spanish Exclusive Economic Zone,Spain,ESP,Spain,NA,NA,NA,0,0,NA,NA,NA,Spain,,
8346,Sri Lankan Exclusive Economic Zone,Sri Lanka,LKA,Sri Lanka,NA,NA,NA,0,0,NA,NA,NA,Sri Lanka,,
8355,Sudanese Exclusive Economic Zone,Sudan,SDN,Sudan,NA,NA,NA,0,0,NA,NA,NA,Sudan,,
26582,Overlapping claim: Sudan / Egypt,Sudan,SDN,Sudan,Egypt,EGY,Egypt,0,0,NA,NA,NA,Sudan,,
8461,Surinamese Exclusive Economic Zone,Suriname,SUR,Suriname,NA,NA,NA,0,0,NA,NA,NA,Suriname,,
8437,Jan Mayen Exclusive Economic Zone,Jan Mayen,SJM,Norway,NA,NA,NA,0,0,NA,NA,NA,Svalbard and Jan Mayen,,
33181,Svalbard Exclusive Economic Zone,Svalbard,SJM,Norway,NA,NA,NA,0,0,NA,NA,NA,Svalbard and Jan Mayen,,
5694,Swedish Exclusive Economic Zone,Sweden,SWE,Sweden,NA,NA,NA,0,0,NA,NA,NA,Sweden,,
8373,Syrian Exclusive Economic Zone,Syria,SYR,Syria,NA,NA,NA,0,0,NA,NA,NA,Syrian Arab Republic,,
8321,Taiwanese Exclusive Economic Zone,Taiwan,TWN,Taiwan,NA,NA,NA,0,0,NA,NA,NA,"Taiwan, Province of China",,
8479,Tanzanian Exclusive Economic Zone,Tanzania,TZA,Tanzania,NA,NA,NA,0,0,NA,NA,NA,"Tanzania, United Republic of",,
8332,Thailand Exclusive Economic Zone,Thailand,THA,Thailand,NA,NA,NA,0,0,NA,NA,NA,Thailand,,
8758,East Timorian Exclusive Economic Zone,East Timor,TLS,East Timor,NA,NA,NA,0,0,NA,NA,NA,Timor-Leste,,
